prediction_date,distributor_id,ptitle,page_name,Predict_category,Predict_brand,,,,,,,,,,,,,,
2021-06-01 17:05:00,12198,apple® lightning to usb 2m charge & sync cable,https://icuracao.com/default/apple-reg-lightning-to-usb-2m-charge-sync-cable.html,,,,,,,,,,,,,,,,
2021-06-01 17:05:00,7340,buy u28p2u online @ megabuy computer parts australia,https://www.megabuy.com.au/aoc-28-uhd-4k-3840-x-2160-ips-srgb-119-height-adjust-pivot-frameless-hdr-mode-hdmi-x-2-dp-p1109379.html,,,,,,,,,,,,,,,,
2021-06-01 17:05:00,7196,apple imac 21.5 desktop computer - intel dual core i5 2.3ghz,8gb,,,Others,apple,,,,,,,,,,,,
2021-06-01 17:05:00,7196,hp 119a (w2090a) laser black toner | mediaform au,https://www.mediaform.com.au/hp-119a-w2090a-laser-150-178-179-standard-yield-black-toner-cartridge/,,,,,,,,,,,,,,,,
2021-06-01 17:05:00,5805,hp 1un11aa - hp engage one basic i/o connectivity base,https://www.lambda-tek.com/HP-1UN11AA~sh/B9950120,,,,,,,,,,,,,,,,
2021-06-01 17:05:00,12073,"zebra tc26ak-11a222-na - barcodes, inc.",https://www.barcodesinc.com/zebra/part-tc26ak-11a222-na.htm,,,,,,,,,,,,,,,,
2021-06-01 17:05:00,12073,"zebra at17010-1 - barcodes, inc.",https://www.barcodesinc.com/zebra/part-at17010-1.htm,,,,,,,,,,,,,,,,
2021-06-01 17:05:00,12073,"zebra 34901-031m - barcodes, inc.",https://www.barcodesinc.com/zebra/part-34901-031m.htm,,,,,,,,,,,,,,,,
2021-06-01 17:05:00,12073,"zebra zd42042-d01000ez - barcodes, inc.",https://www.barcodesinc.com/zebra/part-zd42042-d01000ez.htm,,,,,,,,,,,,,,,,
2021-06-01 17:05:00,11690,neff u1ace2hw0b built in double oven (white) | hbh woolacotts - cornwall and devon's premier independent electrical retailer,https://www.hbh-woolacotts.co.uk/kitchen-appliances/cookers-ovens/built-in-ovens/neff/U1ACE2HW0B,,,,,,,,,,,,,,,,
2021-06-01 17:05:00,25,msi 306-7zw1c31-813-xgx cool cpu mag coreliquid 360r 306-7zw1c31-813,https://www.morecomputers.com/a?pid=306-7ZW1C31-813-XGX%3E%3EMSI,,,,,,,,,,,,,,,,
2021-06-01 17:05:00,13671,miele esw7020 29cm handleless gourmet warming drawer - miele,https://donaghybros.co.uk/miele/miele-esw7020-29cm-handleless-gourmet-warming-drawer.html,,,,,,,,,,,,,,,,
2021-06-01 17:05:00,15663,hoover 9kg vented tumble dryer - white - c energy rated - aclands radio & tv ltd,https://www.aclandstv.co.uk/hoover-9kg-vented-tumble-dryer---white---c-energy-rated/p-4678,,,,,,,,,,,,,,,,
2021-06-01 17:05:00,13285,"westinghouse*654k amazon fire - wa65ufa1001 - next level""",https://getnextlevel.com/p17262_westinghouse654k-amazon-fire,,,,,,,,,,,,,,,,
2021-06-01 17:05:00,7632,dji mini 2 fly more combo |tekzone,https://www.tekzone.co.uk/45534/dji-mini-2-fly-more-combo,,,,,,,,,,,,,,,,
2021-06-01 17:05:00,7206,"dell p2721q 27 4k ips 5ms usb type-c hdmi display p2721q |  online""",https://www.shoppingexpress.com.au/buy/dell-p2721q-27-4k-ips-5ms-usb-type-c-hdmi-displayport-monitor/P2721Q,,,,,,,,,,,,,,,,
2021-06-01 17:05:00,5805,canon 1367c008aa - canon pixma ts5050 inkjet a4 4800 x 1200 dpi wi-fi,https://www.lambda-tek.com/Canon-1367C008AA~sh/B3942891,,,,,,,,,,,,,,,,
2021-06-01 17:05:00,15972,zanussi built in electric double oven - stainless steel - a energy rated - david wood domestic appliances,https://www.davidwoodappliances.co.uk/zanussi-built-in-electric-double-oven---stainless-steel---a-energy-rated/p-1515,,,,,,,,,,,,,,,,
2021-06-01 17:05:00,1410,fujifilm xf 80mm f2.8 r lm ois wr macro| london camera exchange,https://www.lcegroup.co.uk/New/fujifilm-xf-80mm-f28-r-lm-ois-wr-macro-_17154.html,,,,,,,,,,,,,,,,
2021-06-01 17:05:00,12167,weber q3200 black & stand | official weber world store uk | wow bbq,https://www.wowbbq.co.uk/categories/weber-barbecues/weber-q-bbqs/weber-q3200/product/weber-q3200-black/57010074~57010074,,,,,,,,,,,,,,,,
2021-06-01 17:05:00,56,tl-sg3428x - tp-link jetstream 24pt gb l2+ man swt,https://www.misco.co.uk/product/Networking/Switch/TP-LINK/TL-SG3428X-TP-LINK-JETSTREAM-24PT-GB-L2-MAN-SWT,,,,,,,,,,,,,,,,
2021-06-01 17:05:00,938,"wd 3tb my passport ultra 2.5 usb 3.0 external portable hard drive - berry""",https://www.businessdirect.bt.com/products/wd-3tb-my-passport-ultra-2-5--usb-3-0-external-portable-hard-drive---berry-wdbbkd0030bby-eesn-BGVF.html,,,,,,,,,,,,,,,,
2021-06-01 17:05:00,5805,tp-link tl-sg108-m2 - tp-link 8-port 2.5g desktop switch,https://www.lambda-tek.com/TP-LINK-TL-SG108-M2~sh/B45304061,,,,,,,,,,,,,,,,
2021-06-01 17:05:00,56,tl-wpa7517 kit - tp-link gigabit powerline ac wi-fi kit,https://www.misco.co.uk/product/Networking/Powerline/TP-LINK/TL-WPA7517+KIT-TP-Link-Gigabit-Powerline-ac-Wi-Fi-Kit,,,,,,,,,,,,,,,,
2021-06-01 17:05:00,11374,smeg cvi318xs integrated wine cooler - stainless steel,https://buywiseappliances.co.uk/smeg-cvi318xs-integrated-wine-cooler-stainless-steel.html,,,,,,,,,,,,,,,,
2021-06-01 17:05:00,6772,apollo apollo3eechseestnblk 3 seater electric leather recliner with chaise - black e station,https://www.betta.com.au/apollo-3-seater-electric-leather-recliner-with-rh-facing-chaise-black-739373,,,,,,,,,,,,,,,,
2021-06-01 17:05:00,1410,panasonic lumix fz330 | london camera exchange,https://www.lcegroup.co.uk/New/panasonic-lumix-fz330_8870.html,,,,,,,,,,,,,,,,
2021-06-01 17:05:00,3976,fry's electronics |,https://www.frys.com/product/8679010,,,,,,,,,,,,,,,,
2021-06-01 17:05:00,6772,ultimate ears 4519432 wonderboom 2 crushed ice 984-001548 grey,https://www.betta.com.au/ultimate-ears-wonderboom-2-crushed-ice-grey-802527,,,,,,,,,,,,,,,,
2021-06-01 17:05:00,13712,| hifonix,https://www.hifonix.co.uk/detail/innuos-zenith-mk3-music-server,,,,,,,,,,,,,,,,
2021-06-01 17:05:00,6728,buy kelvinator 5.2kw window/wall cooling only air conditioner |  au,https://www.joycemayne.com.au/kelvinator-5-2kw-window-wall-cooling-only-air-conditioner.html,,,,,,,,,,,,,,,,
2021-06-01 17:05:00,12073,"datalogic gbt4500-hc-hd-wlc - barcodes, inc.",https://www.barcodesinc.com/datalogic/part-gbt4500-hc-hd-wlc.htm,,,,,,,,,,,,,,,,
2021-06-01 17:05:00,7206,cooler master thermal paste conductive compounds htk-002-u1 |  online,https://www.shoppingexpress.com.au/buy/cooler-master-thermal-paste-conductive-compounds/HTK-002-U1,,,,,,,,,,,,,,,,
2021-06-01 17:05:00,6728,buy panasonic 3.5kw aero series cooling only inverter split system air conditioner |  au,https://www.joycemayne.com.au/panasonic-3-5kw-aero-series-cooling-only-inverter-split-system-air-conditioner.html,,,,,,,,,,,,,,,,
2021-06-01 17:05:00,173,bt converse 2100 white corded phone (040205) | bt shop,https://shop.bt.com/products/bt-converse-2100-white-corded-phone-040205-5FH1.html,,,,,,,,,,,,,,,,
2021-06-01 17:05:00,3976,fry's electronics |,https://www.frys.com/product/9323800,,,,,,,,,,,,,,,,
2021-06-01 17:05:00,5805,belkin wic002btgr - belkin wic002btgr holder passive holder mobile phone/smartphone grey,https://www.lambda-tek.com/Belkin-WIC002BTGR~sh/B45151924,,,,,,,,,,,,,,,,
2021-06-01 17:05:00,14813,barbie  doll- pink fluffy jacket | ,https://www.thetoyshop.com/dolls-soft-toys/dolls/fashion-dolls-and-accessories/Barbie-Extra-Doll---Pink-Fluffy-Jacket/p/549560,,,,,,,,,,,,,,,,
2021-06-01 17:05:00,5805,lexmark 41x0155 - lexmark cs82x svc rollers deskew,https://www.lambda-tek.com/Lexmark-41X0155~sh/B9845232,,,,,,,,,,,,,,,,
2021-06-01 17:05:00,6728,buy one for all essence 3 universal remote |  au,https://www.joycemayne.com.au/one-for-all-essence-3-universal-remote.html,,,,,,,,,,,,,,,,
2021-06-01 17:05:00,12198,segway ninebot kids bike 14 inch - blue,https://icuracao.com/default/segway-ninebot-kids-bike-14-inch-blue.html,,,,,,,,,,,,,,,,
2021-06-01 17:05:00,6129,modern striped blue green rug 230x160cm - kogan.com,https://www.kogan.com/au/buy/modern-striped-blue-green-rug-230x160cm-premium-rugs/,,,,,,,,,,,,,,,,
2021-06-01 17:05:00,14715,"siemens hb676gbs6b homeconnect, multifunction, 13 functions, tft touchdisplay, softmove, coolstart",https://www.mrcentre.co.uk/siemens-hb676gbs6b-stainless-steel-100054554.html,,,,,,,,,,,,,,,,
2021-06-01 17:05:00,6728,buy breville the salt and pepper mills |  au,https://www.joycemayne.com.au/breville-the-salt-and-pepper-mills.html,,,,,,,,,,,,,,,,
2021-06-01 17:05:00,6728,buy breville the breakfast pack - charcoal |  au,https://www.joycemayne.com.au/breville-the-breakfast-pack-charcoal.html,,,,,,,,,,,,,,,,
2021-06-01 17:05:00,17217,beko 60cm double oven gas cooker with glass lid - white - brooks,https://www.brookswhitehaven.co.uk/beko-60cm-double-oven-gas-cooker-with-glass-lid---white/p-48,,,,,,,,,,,,,,,,
2021-06-01 17:05:00,13427,pit boss pbmemu1 memphis ultimate combo gas and charcoal bbq/smoker (10617) -,https://www.bbqworld.co.uk/pit-boss/pit-boss-pbmemu1-memphis-ultimate.asp,,,,,,,,,,,,,,,,
2021-06-01 17:05:00,371,iogear 2-port dvi kvmp switch with audio and cables -,https://www.microcenter.com/product/321721/2-Port_DVI_KVMP_Switch_with_Audio_and_Cables,,,,,,,,,,,,,,,,
2021-06-01 17:05:00,7196,acronis backup 12.5 advanced server license incl. aap gesd - mediaform au,https://www.mediaform.com.au/acronis-backup-12-5-advanced-server-license-incl-aap-gesd/,,,,,,,,,,,,,,,,
